Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 7 [0/49000 (0%)]	Train Loss: 1.869089	Val Loss: 1.927748	Val Acc: 53
Train Epoch: 7 [3000/49000 (6%)]	Train Loss: 1.931606	Val Loss: 1.950406	Val Acc: 50
Train Epoch: 7 [6000/49000 (12%)]	Train Loss: 1.952681	Val Loss: 1.935341	Val Acc: 52
Train Epoch: 7 [9000/49000 (18%)]	Train Loss: 1.946741	Val Loss: 1.953547	Val Acc: 50
Train Epoch: 7 [12000/49000 (24%)]	Train Loss: 1.947862	Val Loss: 1.929077	Val Acc: 53
Train Epoch: 7 [15000/49000 (30%)]	Train Loss: 1.984083	Val Loss: 1.950869	Val Acc: 50
Train Epoch: 7 [18000/49000 (37%)]	Train Loss: 1.911022	Val Loss: 1.934969	Val Acc: 52
Train Epoch: 7 [21000/49000 (43%)]	Train Loss: 1.926221	Val Loss: 1.937894	Val Acc: 51
Train Epoch: 7 [24000/49000 (49%)]	Train Loss: 1.892884	Val Loss: 1.932409	Val Acc: 52
Train Epoch: 7 [27000/49000 (55%)]	Train Loss: 1.892307	Val Loss: 1.942120	Val Acc: 51
Train Epoch: 7 [30000/49000 (61%)]	Train Loss: 1.896952	Val Loss: 1.939625	Val Acc: 51
Train Epoch: 7 [33000/49000 (67%)]	Train Loss: 1.923612	Val Loss: 1.932230	Val Acc: 52
Train Epoch: 7 [36000/49000 (73%)]	Train Loss: 1.929045	Val Loss: 1.921362	Val Acc: 53
Train Epoch: 7 [39000/49000 (79%)]	Train Loss: 1.905816	Val Loss: 1.941494	Val Acc: 51
Train Epoch: 7 [42000/49000 (85%)]	Train Loss: 1.891600	Val Loss: 1.939737	Val Acc: 52
Train Epoch: 7 [45000/49000 (91%)]	Train Loss: 1.924348	Val Loss: 1.926370	Val Acc: 53
Train Epoch: 7 [48000/49000 (98%)]	Train Loss: 1.910193	Val Loss: 1.933398	Val Acc: 52
Train Epoch: 8 [0/49000 (0%)]	Train Loss: 1.906229	Val Loss: 1.944154	Val Acc: 51
Train Epoch: 8 [3000/49000 (6%)]	Train Loss: 1.884150	Val Loss: 1.928588	Val Acc: 53
Train Epoch: 8 [6000/49000 (12%)]	Train Loss: 1.904766	Val Loss: 1.927061	Val Acc: 53
Train Epoch: 8 [9000/49000 (18%)]	Train Loss: 1.856734	Val Loss: 1.922544	Val Acc: 53
Train Epoch: 8 [12000/49000 (24%)]	Train Loss: 1.906078	Val Loss: 1.936496	Val Acc: 52
Train Epoch: 8 [15000/49000 (30%)]	Train Loss: 1.886025	Val Loss: 1.929513	Val Acc: 52
Train Epoch: 8 [18000/49000 (37%)]	Train Loss: 1.867479	Val Loss: 1.922194	Val Acc: 53
